keys,en,zh
UI_MARKET_CAPS,Caps,瓶盖
UI_MARKET_TOOL_SECTION,Tools (Caps),工具(瓶盖)
UI_MARKET_EQUIP_SECTION,Equipment (Caps),装备(瓶盖)
UI_MARKET_REFRESH_SECTION,Refresh Stock (Caps),刷新库存(瓶盖)
UI_MARKET_BUY_CAPS,"Buy ({n} Caps)","购买({n} 瓶盖)"
UI_MARKET_BUY_VERB,Buy,购买
UI_MARKET_BOUGHT,Bought,已购买
UI_MARKET_STASH_FULL,Stash Full,仓库已满
UI_MARKET_EQUIP_EMPTY,No equipment in stock.,暂无装备库存。
UI_MARKET_TOOL_EMPTY,No tools in stock.,暂无工具库存。
UI_MARKET_RARITY_COMMON,Common,普通
UI_MARKET_RARITY_UNCOMMON,Uncommon,罕见
UI_MARKET_RARITY_RARE,Rare,稀有
UI_MARKET_RARITY_SET,Set,套装
UI_MARKET_RARITY_CURSED,Cursed,诅咒
UI_MARKET_LOCKED_HINT,"Upgrade the Market to tier {t} to unlock this.","将黑市升级至 T{t} 以解锁此功能。"
UI_MARKET_REFRESH_NOTE,"Reroll the stocked tools and equipment. Price rises each use this visit.","重新刷新工具与装备库存。每次刷新价格递增(仅本次到访)。"
UI_MARKET_REFRESH_BTN,"Refresh ({n} Caps)","刷新({n} 瓶盖)"
UI_MARKET_REFRESH_VERB,Refresh Shelves,刷新货架
UI_MARKET_CONVERT_SECTION,Resource Trading,资源交易
UI_MARKET_CONVERT_TAX_NOTE,(after 10% tax),（已扣 10% 税）
UI_MARKET_CONVERT_DO,Convert,兑换
UI_MARKET_CONVERT_OK,"Converted {src} {src_name} into {dst} {dst_name}.","已将 {src} {src_name} 兑换为 {dst} {dst_name}。"
UI_MARKET_CONVERT_CUR_CAPS,Caps,瓶盖
UI_MARKET_CONVERT_CUR_SCRAP,Scrap,废料
UI_BOUNTY_REWARD_EQUIP,Equipment ({t}),装备({t})
UI_BOUNTY_OBJ_PLAY_ATTACK_CARDS,Play {n} attack cards,打出 {n} 张攻击牌
UI_BOUNTY_OBJ_EARN_GOLD,Earn {n} Caps in runs,局内获得 {n} 瓶盖
UI_BOUNTY_OBJ_KILL_ELITES,Kill {n} elite enemies,击杀 {n} 名精英
UI_BOUNTY_OBJ_KILL_BOSS,Slay {n} boss,讨伐 {n} 名首领
UI_BOUNTY_OBJ_EXTRACT_ALIVE,Extract alive {n} time,活着撤离 {n} 次
UI_BOUNTY_OBJ_UPGRADE_CARDS,Upgrade {n} cards at campfires,在篝火升级 {n} 张卡牌
UI_BOUNTY_OBJ_KILL_ENEMIES,Kill {n} enemies,击杀 {n} 名敌人
UI_MARKET_TOOL_SHELF,Tool Shelf,工具货架
UI_MARKET_EQUIP_SHELF,Equipment Shelf,装备货架
UI_MARKET_CONVERT_TITLE,Resource Exchange,资源兑换
